question,correct_answer
"What is a key characteristic of Amazon S3 bucket names? (Select TWO)", "Bucket names must be unique globally;Buckets are region-specific"
"What considerations are there when choosing which region to use? (Select TWO)", "Data sovereignty;Latency"
"Which service can be used to track the CPU usage of an EC2 instance?", "Amazon CloudWatch"
"Which AWS service allows you to connect to storage from on-premise servers using standard file protocols?", "Amazon EFS"
"The AWS global infrastructure is composed of? (Select TWO)", "Regions;Availability Zones"
"Which items can be configured from within the VPC management console? (Select TWO)", "Subnets;Security Groups"
"What advantages does deploying Amazon CloudFront provide? (Select TWO)", "Reduced latency;Improved performance for end users"
"What is an availability zone composed of?", "One or more data centers in a location"
"Which AWS service is primarily used for software version control?", "AWS CodeCommit"
"Which services can be used for asynchronous integration between application components? (Select TWO)", "Amazon SQS;AWS Step Functions"
"How does AWS assist organizations’ with their capacity requirements?", "You don’t need to guess your capacity needs"
"What strategy can assist with allocating metadata to AWS resources for cost tracking and visibility?", "Tagging"
"What is the term for describing the action of automatically running scripts on Amazon EC2 instances when launched to install software?", "Bootstrapping"
"Which of the following is a method of backup available in the AWS cloud?", "Amazon EBS Snapshots"
"Under the AWS shared responsibility model, what are the customer's responsibilities? (Select TWO)", "4: Security of data in transit  5: Data integrity authentication" [1, 2]
"Which AWS service can you use to install a third-party database?", "3: Amazon EC2" [3]
"Which service can you use to provision a preconfigured server with little to no AWS experience?", "4: Amazon LightSail" [3]
"Which service allows you to automatically expand and shrink your application in response to demand?", "3: Amazon EC2 Auto Scaling" [3]
"What method can you use to take a backup of an Amazon EC2 instance using AWS tools?", "4: Take a snapshot to capture the point-in-time state of the instance" [4]
"When instantiating compute resources, what are two techniques for using automated, repeatable processes that are fast and avoid human error? (Select TWO)", "2: Bootstrapping 4: Infrastructure as code" [4]
"Which AWS service can be used to process a large amount of data using the Hadoop framework?", "4: Amazon EMR" [5]
"A company would like to maximize their potential volume and Reserved Instance discounts across multiple accounts and also apply service control policies on member accounts. Which service or tool can they use to gain these benefits?", "4: AWS Organizations" [5]
"What are two ways that moving to an AWS cloud can benefit an organization? (Select TWO)", "2: Increase speed and agility 3: Stop guessing about capacity" [5]
"Which AWS service can an organization use to automate operational tasks on EC2 instances using existing Chef cookbooks?", "1: AWS OpsWorks" [6]
"Which of the following statements is correct in relation to consolidated billing? (Select TWO)", "2: Used to consolidate billing across organizations 3: One bill is provided per AWS organization" [6]
"Which AWS support plan should you use if you need a response time of < 15 minutes for a business-critical system failure?", "4: Enterprise" [7]
"Which feature can you use to grant read/write access to an Amazon S3 bucket?", "2: IAM Policy" [7]
"How can an organization compare the cost of running applications in an on-premise or colocation environment against the AWS cloud?", "3: TCO Calculator" [7]
"What is the most cost-effective EC2 pricing option to use for a non-critical overnight workload?", "2: Spot" [8]
"What is the most cost-effective support plan that should be selected to provide at least a 1-hour response time for a production system failure?", "3: Business" [8]
"Under the shared responsibility model, what are examples of shared controls? (Select TWO)", "1: Patch management 4: Configuration management" [8]
"For which services does Amazon not charge customers? (Select TWO)", "1: Amazon VPC 3: Amazon CloudFormation" [9]
"Which service can be used for building and integrating loosely-coupled, distributed applications?", "2: Amazon SNS" [9]
"What can you use to quickly connect your office securely to your Amazon VPC?", "4: AWS managed VPN" [9]
"Which storage service allows you to connect multiple EC2 instances concurrently using file-level protocols?", "3: Amazon EFS" [9]
"Which types of pricing policies does AWS offer? (Select TWO)", "1: Pay-as-you-go 5: Save when you reserve" [10]
"The AWS Identity and Access Management (IAM) service can be used to manage which objects? (Select TWO)", "2: Access policies 3: Roles" [10]
"Under the AWS shared responsibility model what is the customer responsible for? (Select TWO)", "3: Configuration of security groups 5: Encryption of customer data" [10]
"Which service can be used to track the CPU usage of an EC2 instance?", "4: Amazon CloudWatch" [11]
"Which AWS service allows you to connect to storage from on-premise servers using standard file protocols?", "4: Amazon EFS" [11]
"The AWS global infrastructure is composed of? (Select TWO)", "1: Regions 4: Availability Zones" [11]
"Which items can be configured from within the VPC management console? (Select TWO)", "1: Subnets 4: Auto Scaling" [11]
"What is the term for describing the action of automatically running scripts on Amazon EC2 instances when launched to install software?", "2: Bootstrapping" [2]
"Which of the following is a method of backup available in the AWS cloud?", "1: Amazon EBS Snapshots" [2]
"Which AWS service can be used to generate encryption keys that can be used to encrypt data? (Select TWO)", "3: AWS Key Management Service (AWS KMS)  5: AWS CloudHSM" [12]
"Which AWS service can be used to take a backup of an Amazon EC2 instance using AWS tools?", "Take a snapshot to capture the point-in-time state of the instance" [13]
"When instantiating compute resources, what are two techniques for using automated, repeatable processes that are fast and avoid human error? (Select TWO)", "2: Bootstrapping  4: Infrastructure as code" [14]
"Which AWS support plan should you use if you need a response time of < 15 minutes for a business-critical system failure?", "4: Enterprise" [15]
"What is the most cost-effective support plan that should be selected to provide at least a 1-hour response time for a production system failure?", "3: Business" [16]
"For which services does Amazon not charge customers? (Select TWO)", "1: Amazon VPC  3: Amazon CloudFormation" [17]
"Which service can be used for building and integrating loosely-coupled, distributed applications?", "2: Amazon SNS" [18]
"Which storage service allows you to connect multiple EC2 instances concurrently using file-level protocols?", "3: Amazon EFS" [19]
"Which service supports the resolution of public domain names to IP addresses or AWS resources?", "1: Amazon Route 53" [20]
"Which services can be used for asynchronous integration between application components? (Select TWO)", "1: Amazon SQS  2: AWS Step Functions" [21]
"Which AWS dashboard displays relevant and timely information to help users manage events in progress, and provides proactive notifications to help plan for scheduled activities?", "2: AWS Personal Health Dashboard" [22]
"A company has an application with users in both Australia and Germany. All the company infrastructure is currently provisioned in the Europe (Frankfurt) Region, and Australian users are experiencing high latency. What should the company do to reduce latency?", "2: Provision resources in the Asia Pacific (Sydney) Region in Australia" [22]
"Which AWS service should a Cloud Practitioner use to automate configuration management using Puppet?", "2: AWS OpsWorks" [23]
"Which AWS service is used to send both text and email messages from distributed applications?", "1: Amazon Simple Notification Service (Amazon SNS)" [23]
"Which AWS service or feature allows a company to receive a single monthly AWS bill when using multiple AWS accounts?", "1: Consolidated billing" [23]
"What can a Cloud Practitioner use the AWS Total Cost of Ownership (TCO) Calculator for?", "2: Estimate savings when comparing the AWS Cloud to an on-premises environment" [24]
"Which of the following should be used to improve the security of access to the AWS Management Console? (Select TWO)", "3: AWS Multi-Factor Authentication (AWS MFA) 5: Strong password policies" [24]
"Which AWS hybrid storage service enables a user’s on-premises applications to seamlessly use AWS Cloud storage?", "4: AWS Storage Gateway" [25]
"A user has limited knowledge of AWS services, but wants to quickly deploy a scalable Node.js application in an Amazon VPC. Which service should be used to deploy the application?", "2: AWS Elastic Beanstalk" [25]
"How can a security compliance officer retrieve AWS compliance documentation such as a SOC 2 report?", "1: Using AWS Artifact" [25]
"Which services are involved with security? (Select TWO)", "1: AWS CloudHSM 3: AWS KMS" [26]
"Which services are managed at a regional (rather than global) level? (Select TWO)", "4: Amazon EC2 5: AWS IAM" [26]
"What are the names of two types of AWS Storage Gateway? (Select TWO)", "2: File Gateway  4: Tape Gateway" [26]
"A Cloud Practitioner wants to build an application stack that will be highly elastic. What AWS services can be used that don’t require you to make any capacity decisions upfront? (Select TWO)", "1: AWS Lambda 3: Amazon S3" [26]
"Which of the following services does Amazon Route 53 provide? (Select TWO)", "1: Domain registration  3: Domain Name Service (DNS)" [27]
"An application stores images which will be retrieved infrequently but must be available for retrieval immediately. Which is the most cost-effective storage option that meets these requirements?", "2: Amazon S3 Standard-Infrequent Access" [27]
"Which AWS network element allows you to assign a static IPv4 address to an EC2 instance?", "2: Elastic IP" [28]
"You need to implement a hosted queue for storing messages in transit between application servers. Which service should you use?", "3: Amazon SQS" [28]
"Which configuration changes are associated with scaling horizontally? (Select TWO)", "1: Adding additional EC2 instances through Auto Scaling  4: Adding additional hard drives to a storage array" [28]
"A manager needs to keep a check on his AWS spend. How can the manager setup alarm that notify him when his bill reaches a certain amount?", "1: Using Amazon CloudWatch" [29]
"A company is planning to migrate some resources into the cloud. What factors need to be considered when determining the cost of the AWS Cloud? (Select TWO)", "2: The number of servers migrated into EC2  4: The amount of egress data per month" [29]
"Which AWS support plans provide support via email, chat and phone? (Select TWO)", "3: Business  4: Enterprise" [30]
"Which AWS service can be used to host a static website?", "1: Amazon S3" [30]
"Which of the following are AWS recommended best practices in relation to IAM? (Select TWO)", "2: Create individual IAM users 4: Enable MFA for all users" [30]
"Which of the following security operations tasks must be performed by AWS customers? (Select TWO)", "3: Installing security updates on EC2 instances 4: Enabling multi-factor authentication (MFA) for privileged users" [31]
"An architect wants to find a tool for consistently deploying the same resources through a templated configuration. What AWS service can be used?", "4: AWS CloudFormation" [31]
"Which configuration changes are associated with scaling vertically? (Select TWO)", "3: Adding a larger capacity hard drive to a server 5: Changing an EC2 instance to a type that has more CPU and RAM" [32]
"How can an organization assess applications for vulnerabilities and deviations from best practice?", "2: Use AWS Inspector" [32]
"An architect needs to compare the cost of deploying an on-premise web server and an EC2 instance on the AWS cloud. Which tool can be used to assist the architect?", "3: AWS TCO Calculator" [33]
"Which of the following are valid types of Reserved Instance? (Select TWO)", "1: Convertible RI  3: Scheduled RI" [33]
"At what level is a Network ACL applied?", "4: Subnet level" [33]
"Using AWS terminology, which items can be created in an Amazon S3 bucket? (Select TWO)", "1: Folders 4: Objects" [34]
"What are two ways an AWS customer can reduce their monthly spend? (Select TWO)", "1: Turn off resources that are not being used 3: Reserve capacity where suitable" [34]
"What are two ways of connecting to an Amazon VPC from an on-premise data center? (Select TWO)", "2: AWS Direct Connect  3: AWS VPN CloudHub" [34]
"Which AWS service provides elastic web-scale cloud computing allowing you to deploy operating system instances?", "4: Amazon EC2" [35]
"Which AWS service gives you centralized control over the encryption keys used to protect your data?", "2: AWS KMS" [35]
"Which tool can be used to create and manage a selection of AWS services that are approved for use on AWS?", "1: AWS Service Catalog" [35]
"Which AWS service can be used to load data from Amazon S3, transform it, and move it to another destination?", "4: AWS Glue" [36]
"Which cloud computing model gives the IT department the highest level of flexibility and management control?", "1: Infrastructure as a Service (IaaS)" [36]
"How should an organization deploy an application running on multiple EC2 instances to ensure that a power failure does not cause an application outage?", "3: Launch the EC2 instances into different Availability Zones" [36]
"A user needs an automated security assessment report that will identify unintended network access to Amazon EC2 instances and vulnerabilities on those instances. Which AWS service will provide this assessment report?", "4: Amazon Inspector" [37]
"What can a Cloud Practitioner use the AWS Total Cost of Ownership (TCO) Calculator for?", "2: Estimate savings when comparing the AWS Cloud to an on-premises environment" [38]
"A user has limited knowledge of AWS services, but wants to quickly deploy a scalable Node.js application in an Amazon VPC. Which service should be used to deploy the application?", "2: AWS Elastic Beanstalk" [39]
"How can you apply metadata to an EC2 instance that categorizes it according to its purpose, owner or environment?", "2: Tags" [40]
"What are the names of two types of AWS Storage Gateway? (Select TWO)", "2: File Gateway 4: Tape Gateway" [41]
"Which of the following services does Amazon Route 53 provide? (Select TWO)", "1: Domain registration  3: Domain Name Service (DNS)" [42]
"Which AWS support plans provide support via email, chat and phone? (Select TWO)", "3: Business 4: Enterprise" [43]
"Which AWS service can be used to host a static website?", "1: Amazon S3" [44]
"An architect wants to find a tool for consistently deploying the same resources through a templated configuration. What AWS service can be used?", "4: AWS CloudFormation" [45]
"Using AWS terminology, which items can be created in an Amazon S3 bucket? (Select TWO)", "1: Folders 4: Objects" [46]
"Which AWS service provides elastic web-scale cloud computing allowing you to deploy operating system instances?", "4: Amazon EC2" [47]
"Which AWS service can be used to load data from Amazon S3, transform it, and move it to another destination?", "4: AWS Glue" [48]
"Which cloud computing model gives the IT department the highest level of flexibility and management control?", "1: Infrastructure as a Service (IaaS)" [49]
"When using AWS Organizations with consolidated billing what are two valid best practices?", "You receive a single bill for multiple accounts, You can combine usage and share volume pricing discounts" [50]
"Which AWS Support plan provides access to architectural and operational reviews, as well as 24/7 access to Cloud Support Engineers through email, online chat, and phone?", "4: Enterprise" [51]
"Under the AWS shared responsibility model, which of the following is an example of security in the AWS Cloud?", "3: Firewall configuration" [51]
"Which AWS service provides on-demand downloads of AWS security and compliance reports?", "2: AWS Artifact" [51]
"Which service provides a way to convert video and audio files from their source format into versions that will playback on devices like smartphones, tablets and PCs?", "1: Amazon Elastic Transcoder" [52]
"When using AWS Organizations with consolidated billing what are two valid best practices? (Select TWO)", "1: Always enable multi-factor authentication (MFA) on the root account 3: The paying account should be used for billing purposes only" [52]
"What tool provides real time guidance to help you provision your resources following best practices in the areas of cost optimization, performance, security and fault tolerance?", "2: AWS Trusted Advisor" [53]
"What is the best way for an organization to transfer hundreds of terabytes of data from their on-premise data center into Amazon S3 with limited bandwidth available?", "3: Use AWS Snowball" [53]
"Which database allows you to scale at the push of a button without incurring any downtime?", "3: Amazon DynamoDB" [54]
"What are the charges for using Amazon Glacier? (Select TWO)", "2: Retrieval requests 3: Data storage" [54]
"Which descriptions are correct regarding cloud deployment models? (Select TWO)", "4: With the public cloud the consumer organization typically incurs OPEX costs for usage 5: With the private cloud the consumer organization typically owns and manages the infrastructure" [54]
"Which AWS service can be used to automate configuration management using Chef?", "4: AWS OpsWorks" [55]
"Which AWS database service provides a fully managed data warehouse that can be analyzed using SQL tools and business intelligence tools?", "3: Amazon RedShift" [55]
"Which service can be used to create sophisticated, interactive graph applications?", "2: Amazon Neptune" [55]
"When using Amazon IAM, what authentication methods are available to use? (Select TWO)", "2: Access keys  4: Server certificates" [55]
"Which authentication method is used to authenticate programmatic calls to AWS services?", "4: Access keys" [56]
"What is a benefit of moving an on-premises database to Amazon Relational Database Service (RDS)?", "1: There is no need to manage operating systems" [56]
"What are the benefits of using Amazon Rekognition with image files?", "2: Can be used to identify objects in an image" [56]
"Which IAM entity is associated with an access key ID and secret access key?", "4: IAM User" [57]
"Which IAM entity can be used for assigning permissions to multiple users?", "2: IAM Group" [57]
"Which service can be used to cost-effectively move exabytes of data into AWS?", "1: AWS Snowmobile" [57]
"Which AWS services are associated with Edge Locations? (Select TWO)", "1: Amazon CloudFront 3: AWS Shield" [57]
"Which service can be used to easily create multiple accounts?", "3: AWS Organizations" [58]
"What is a specific benefit of an Enterprise Support plan?", "4: Included Technical Account Manager" [58]
"You have been running an on-demand Amazon EC2 instance running Linux for 4hrs, 5 minutes and 6 seconds. How much time will you be billed for?", "3: 4hrs, 5mins, and 6 seconds" [58]
"Which of the below is an example of an architectural benefit of moving to the cloud?", "1: Elasticity" [59]
"What are the benefits of using reserved instances? (Select TWO)", "1: Reduced cost 3: Reserve capacity" [59]
"Which AWS tools can be used for automation? (Select TWO)", "1: AWS Elastic Beanstalk 3: AWS CloudFormation" [59]
"Which IAM entity can be used for assigning permissions to AWS services?", "3: IAM Role" [60]
"How does Amazon EC2 Auto Scaling help with resiliency?", "2: By launching and terminating instances as needed" [60]
"Your CTO wants to move to cloud. What cost advantages are there to moving to cloud?", "1: You provision only what you need and adjust to peak load" [60]
"Which AWS services can be used as infrastructure automation tools?", "1: AWS CloudFormation 4: AWS OpsWorks" [61]
"How can a company separate costs for storage, Amazon EC2, Amazon S3, and other AWS services by department?", "1: Add department-specific tags to each resource" [62]
"Which Amazon EC2 pricing model provides is the most cost-effective for an always-up, right-sized database server running a project that will last 1 year?", "4: Standard Reserved Instances" [63]
"Which of the following are design principles for security in the AWS Cloud? (Select TWO)", "Enable traceability , Automate security best practices" [64]
"Which pricing options are available when using Amazon EC2 Reserved Instances? (Select TWO)", "2: All upfront 4: Partial upfront" [64]
"Under the AWS shared responsibility model what is AWS responsible for? (Select TWO)", "1: Physical security of the data center 2: Replacement and disposal of disk drives" [65]
